idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
20,19_1280_1600_7_20_15_7,16_1280_1360_7_20_14_21,7_20_15_22,0.001,32,4,80,1,92200,1.6816856861114502,0.7977729439735413,3.4881346225738525,1.809048414230347,0.9560465216636658,3.773212432861328,7,9,0
21,20_1280_1680_7_20_15_22,16_1280_1360_7_20_14_21,7_20_15_43,0.001,32,8,80,1,96158,1.6990360021591189,0.8016671538352966,3.508279800415039,1.7636618614196775,0.9691072106361388,3.739797830581665,3,13,0
22,21_1280_1760_7_20_15_43,16_1280_1360_7_20_14_21,7_20_16_1,0.001,32,8,80,1,100053,1.722665548324585,0.7877619862556458,3.516904830932617,1.8112868070602417,1.1115491390228271,3.928755044937134,2,14,0
23,22_1280_1840_7_20_16_1,16_1280_1360_7_20_14_21,7_20_16_24,0.001,32,8,80,1,103947,1.701892614364624,0.7831252813339233,3.4903814792633057,1.826302528381348,1.0221741199493408,3.853278398513794,7,9,0
24,23_1280_1920_7_20_16_24,16_1280_1360_7_20_14_21,7_20_16_49,0.001,32,8,80,1,107844,1.6837772130966189,0.7713269591331482,3.459347724914551,1.816948652267456,0.9570515155792236,3.777674436569214,6,10,0
25,24_1280_2000_7_20_16_49,16_1280_1360_7_20_14_21,7_20_17_8,0.001,32,8,80,1,111755,1.6878153085708618,0.7712246179580688,3.462149381637573,1.8150917291641235,0.9768885374069214,3.794517993927002,4,12,0
26,25_1280_2080_7_20_17_8,16_1280_1360_7_20_14_21,7_20_17_31,0.001,32,8,80,1,115780,1.6658648252487185,0.7407842874526978,3.4086196422576904,1.8439658880233765,0.9412646889686584,3.786627769470215,8,8,0
27,26_1280_2160_7_20_17_31,16_1280_1360_7_20_14_21,7_20_17_59,0.001,32,8,80,1,119805,1.695694923400879,0.7378383278846741,3.434359073638916,1.8204047679901123,0.9126638174057008,3.733310461044312,5,11,0
28,27_1280_2240_7_20_17_59,16_1280_1360_7_20_14_21,7_20_18_17,0.001,32,8,80,1,123683,1.635232925415039,0.727563202381134,3.362455606460572,1.7950419187545776,0.8905453085899353,3.684654712677002,0,16,0
29,28_1280_2320_7_20_18_17,16_1280_1360_7_20_14_21,7_20_19_46,0.001,32,8,80,1,127677,1.6251747608184814,0.7252411246299744,3.3489041328430176,1.776396632194519,0.8929154872894287,3.667201280593872,5,11,0
