idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
51,50_3280_4080_7_21_3_16,41_3280_3360_7_21_0_2,7_21_11_35,0.001,32,16,80,1,214984,1.680554152,0.688925445,3.341526985,1.852569699,0.884264886,3.70827508,9,7,0
52,51_4080_4160_7_21_11_35,51_4080_4160_7_21_11_35,7_21_12_10,0.001,32,16,80,1,219315,1.714592338,0.682314456,3.367746592,1.839380383,0.827549279,3.637171745,12,4,0
53,52_4160_4240_7_21_12_10,52_4160_4240_7_21_12_10,7_21_12_43,0.001,32,16,80,1,223035,1.730766177,0.699258089,3.399670362,1.820964336,0.884183824,3.674200296,12,4,0
54,53_4240_4320_7_21_12_43,53_4240_4320_7_21_12_43,7_21_13_19,0.001,32,16,80,1,226764,1.723506689,0.698988378,3.390944004,1.86277163,0.904488504,3.735096693,10,6,0
55,54_4320_4400_7_21_13_19,54_4320_4400_7_21_13_19,7_21_13_35,0.001,32,16,80,1,228246,1.702414632,0.705739617,3.375380993,1.868951797,0.875441372,3.711011887,4,12,0
56,55_4320_4480_7_21_13_35,54_4320_4400_7_21_13_19,7_21_13_52,0.001,32,16,80,1,229771,1.707334518,0.684245169,3.357602119,1.845589995,0.859103501,3.670115471,4,12,0
57,56_4320_4560_7_21_13_52,54_4320_4400_7_21_13_19,7_21_14_10,0.001,32,16,80,1,231283,1.70973599,0.693340302,3.367908239,1.81914115,0.86192435,3.645295858,7,9,0
58,57_4320_4640_7_21_14_10,54_4320_4400_7_21_13_19,7_21_14_25,0.001,32,16,80,1,232755,1.759167671,0.670862377,3.393670559,1.888584137,0.875378907,3.727006912,5,11,0
59,58_4320_4720_7_21_14_25,54_4320_4400_7_21_13_19,7_21_14_41,0.001,32,16,80,1,234235,1.735652328,0.695834279,3.393937349,1.837216735,0.843318045,3.642390728,4,12,0
60,59_4320_4800_7_21_14_41,54_4320_4400_7_21_13_19,7_21_14_58,0.001,32,16,80,1,235801,1.740275264,0.667711616,3.369252205,1.880243301,0.846601546,3.687515736,9,7,0
61,60_4800_4880_7_21_14_58,60_4800_4880_7_21_14_58,7_21_15_19,0.001,32,16,80,1,238185,1.75021565,0.657589912,3.367884874,1.835891604,0.84641397,3.641794443,11,5,0
62,61_4880_4960_7_21_15_19,61_4880_4960_7_21_15_19,7_21_15_50,0.001,32,16,80,1,241476,1.706930757,0.648592532,3.31441474,1.860638261,0.85387671,3.672814608,4,12,0
63,62_4880_5040_7_21_15_50,61_4880_4960_7_21_15_19,7_21_16_22,0.001,32,16,80,1,244721,1.726650834,0.675503731,3.359862089,1.871956468,0.827372491,3.656437397,4,12,0
64,63_4880_5120_7_21_16_22,61_4880_4960_7_21_15_19,7_21_16_48,0.001,32,16,80,1,247984,1.745465517,0.674582779,3.376564264,1.902046919,0.830676675,3.688647509,3,13,0
65,64_4880_5200_7_21_16_48,61_4880_4960_7_21_15_19,7_21_17_19,0.001,32,16,80,1,251317,1.789194345,0.668636024,3.413166285,1.879074216,0.80967468,3.643493414,4,12,0
66,65_4880_5280_7_21_17_19,61_4880_4960_7_21_15_19,7_21_17_53,0.001,32,16,80,1,254591,1.73726666,0.650879562,3.342298269,1.873052359,0.811861813,3.638471365,8,8,0
67,66_4880_5360_7_21_17_53,61_4880_4960_7_21_15_19,7_21_18_19,0.001,32,16,80,1,257873,1.709776044,0.65286696,3.315602779,1.868983626,0.857683361,3.679029226,9,7,0
68,67_5360_5440_7_21_18_19,67_5360_5440_7_21_18_19,7_21_19_55,0.001,32,16,80,1,261495,1.76772964,0.674314737,3.393821955,1.85478127,0.833099961,3.639065504,6,10,0
69,68_5360_5520_7_21_19_55,67_5360_5440_7_21_18_19,7_21_20_34,0.001,32,16,80,1,265257,1.782572627,0.667876661,3.401049614,1.85206151,0.823425829,3.62549448,12,4,0
70,69_5520_5600_7_21_20_34,69_5520_5600_7_21_20_34,7_21_21_5,0.001,32,16,80,1,269000,1.719739318,0.66603291,3.335190535,1.848861933,0.824885488,3.622568607,9,7,0
71,70_5600_5680_7_21_21_5,70_5600_5680_7_21_21_5,7_21_21_34,0.001,32,16,80,1,271767,1.742822051,0.674398541,3.365453243,1.878992796,0.852791905,3.679419518,9,7,0
72,71_5680_5760_7_21_21_34,71_5680_5760_7_21_21_34,7_21_22_13,0.001,32,16,80,1,275609,1.756019115,0.657280445,3.360343695,1.855965614,0.782755792,3.585165977,6,10,0
73,72_5680_5840_7_21_22_13,71_5680_5760_7_21_21_34,7_21_22_45,0.001,32,16,80,1,279338,1.739736795,0.669932008,3.355527163,1.863869905,0.831013322,3.640146494,7,9,0
74,73_5680_5920_7_21_22_45,71_5680_5760_7_21_21_34,7_21_23_22,0.001,32,16,80,1,283284,1.766343117,0.681241632,3.392253399,1.867038012,0.810795844,3.621899605,11,5,0
75,74_5920_6000_7_21_23_22,74_5920_6000_7_21_23_22,7_21_23_56,0.001,32,16,80,1,286515,1.785791755,0.685950339,3.415223598,1.901807666,0.839495301,3.684190035,11,5,0
76,75_6000_6080_7_21_23_56,75_6000_6080_7_21_23_56,7_22_0_58,0.001,32,32,80,1,289310,1.781615257,0.675958812,3.399873734,1.883041501,0.800509393,3.625252962,14,2,0
77,76_6080_6160_7_22_0_58,76_6080_6160_7_22_0_58,7_22_1_41,0.001,32,32,80,1,291901,1.784340262,0.682976663,3.408425093,1.87872982,0.867509842,3.686750174,11,5,0
78,77_6160_6240_7_22_1_41,77_6160_6240_7_22_1_41,7_22_2_40,0.001,32,32,80,1,295609,1.806600094,0.67286545,3.419394255,1.956739902,0.825062871,3.721142292,10,6,0
79,78_6240_6320_7_22_2_40,78_6240_6320_7_22_2_40,7_22_3_27,0.001,32,32,80,1,298835,1.821268916,0.675092876,3.435118675,1.95297277,0.806498408,3.697633982,14,2,0
80,79_6320_6400_7_22_3_27,79_6320_6400_7_22_3_27,7_22_4_15,0.001,32,32,80,1,301955,1.845003605,0.688844264,3.471422434,1.969424963,0.826840103,3.733244658,13,3,0
81,80_6400_6480_7_22_4_15,80_6400_6480_7_22_4_15,7_22_5_5,0.001,32,32,80,1,304985,1.859772563,0.679166377,3.47533083,1.980526447,0.833573639,3.74990344,6,10,0
82,81_6400_6560_7_22_5_5,80_6400_6480_7_22_4_15,7_22_5_51,0.001,32,32,80,1,308096,1.813201308,0.689686954,3.438104153,1.931066036,0.811651826,3.677339554,1,15,0
83,82_6400_6640_7_22_5_51,80_6400_6480_7_22_4_15,7_22_6_38,0.001,32,32,80,1,311267,1.867096782,0.67399174,3.475128412,1.964149714,0.837459207,3.735061884,4,12,0
84,83_6400_6720_7_22_6_38,80_6400_6480_7_22_4_15,7_22_7_26,0.001,32,32,80,1,314170,1.843640447,0.669904351,3.446412563,2.001248837,0.852927566,3.786456347,11,5,0
85,84_6720_6800_7_22_7_26,84_6720_6800_7_22_7_26,7_22_8_14,0.001,32,32,80,1,317348,1.877611518,0.703647137,3.512953997,2.026705503,0.829462826,3.787269115,14,2,0
86,85_6800_6880_7_22_8_15,85_6800_6880_7_22_8_15,7_22_8_46,0.001,32,32,80,1,319297,1.844591022,0.689481318,3.464588404,1.990913391,0.817034423,3.73788023,7,9,0
87,86_6800_6960_7_22_8_46,85_6800_6880_7_22_8_15,7_22_9_20,0.001,32,32,80,1,321227,1.897773147,0.697701693,3.524827242,2.038918018,0.846569896,3.814254284,4,12,0
88,87_6800_7040_7_22_9_20,85_6800_6880_7_22_8_15,7_22_9_47,0.001,32,32,80,1,322954,1.880359769,0.682371378,3.490916729,1.986891747,0.826680481,3.741170645,16,0,0
89,88_7040_7120_7_22_9_47,88_7040_7120_7_22_9_47,7_22_10_29,0.001,32,32,80,1,325602,1.879881144,0.681807756,3.488700867,2.025753498,0.832106471,3.784286022,7,9,0
90,89_7040_7200_7_22_10_29,88_7040_7120_7_22_9_47,7_22_11_13,0.001,32,32,80,1,328222,1.864125013,0.692995191,3.482963324,1.989531636,0.835390568,3.750177622,5,11,0
91,90_7040_7280_7_22_11_13,88_7040_7120_7_22_9_47,7_22_11_54,0.001,32,32,80,1,330984,1.875265956,0.667133689,3.467070103,2.028326035,0.835004866,3.787418604,2,14,0
92,91_7040_7360_7_22_11_54,88_7040_7120_7_22_9_47,7_22_12_34,0.001,32,32,80,1,333573,1.910415411,0.686095476,3.520029783,2.000438929,0.82265842,3.746041536,4,12,0
93,92_7040_7440_7_22_12_34,88_7040_7120_7_22_9_47,7_22_13_18,0.001,32,32,80,1,336116,1.906311154,0.67595458,3.504640102,1.974488854,0.848271728,3.744557619,11,5,0
94,93_7440_7520_7_22_13_18,93_7440_7520_7_22_13_18,7_22_13_49,0.001,32,32,80,1,338276,1.942489862,0.69818294,3.56190443,2.016615629,0.825826287,3.763101578,15,1,0
95,94_7520_7600_7_22_13_49,94_7520_7600_7_22_13_49,7_22_14_34,0.001,32,32,80,1,341276,1.963934779,0.695464969,3.579493284,2.048285723,0.819960415,3.787766695,7,9,0
96,95_7520_7680_7_22_14_34,94_7520_7600_7_22_13_49,7_22_15_19,0.001,32,32,80,1,344157,1.924256802,0.686397374,3.529602289,2.051995993,0.842533767,3.812903404,2,14,0
97,96_7520_7760_7_22_15_19,94_7520_7600_7_22_13_49,7_22_16_3,0.001,32,32,80,1,347121,1.938206077,0.680418849,3.536427975,2.079183578,0.866220236,3.862628937,11,5,0
98,97_7760_7840_7_22_16_3,97_7760_7840_7_22_16_3,7_22_16_40,0.001,32,32,80,1,349499,1.906577587,0.677757502,3.500996351,2.016563654,0.832620203,3.765267134,6,10,0
99,98_7760_7920_7_22_16_40,97_7760_7840_7_22_16_3,7_22_17_19,0.001,32,32,80,1,351877,1.953124642,0.680200696,3.548841476,2.11532402,0.827171981,3.857433796,5,11,0
100,99_7760_8000_7_22_17_19,97_7760_7840_7_22_16_3,7_22_17_56,0.001,32,32,80,1,354387,1.940647721,0.665836811,3.520851135,2.087265968,0.809208035,3.810266495,16,0,0
101,100_8000_8080_7_22_17_56,100_8000_8080_7_22_17_56,7_22_20_48,0.001,32,64,80,1,355311,1.970630407,0.682294369,3.566146612,2.117980719,0.82610172,3.856730461,7,9,0
102,101_8000_8160_7_22_20_48,100_8000_8080_7_22_17_56,7_22_21_26,0.001,32,64,80,1,356313,2.009541035,0.681835592,3.603467703,2.088963985,0.817465782,3.817957163,4,12,0
103,102_8000_8240_7_22_21_26,100_8000_8080_7_22_17_56,7_22_21_59,0.001,32,64,80,1,357237,2.001722574,0.680700421,3.593388081,2.064319849,0.8372401,3.811965942,16,0,0
104,103_8240_8320_7_22_21_59,103_8240_8320_7_22_21_59,7_22_23_17,0.001,32,64,80,1,359856,1.976014018,0.670008004,3.555861235,2.068138361,0.803103149,3.780511856,5,11,0
105,104_8240_8400_7_22_23_17,103_8240_8320_7_22_21_59,7_23_0_43,0.001,32,64,80,1,362457,1.966531157,0.664789855,3.540030241,2.070546627,0.791474164,3.770161867,6,10,0
106,105_8240_8480_7_23_0_43,103_8240_8320_7_22_21_59,7_23_1_59,0.001,32,64,80,1,365085,1.992650032,0.657596469,3.557828426,2.062543154,0.817848325,3.787413597,5,11,0
107,106_8240_8560_7_23_1_59,103_8240_8320_7_22_21_59,7_23_3_13,0.001,32,64,80,1,367697,1.972842693,0.643989205,3.523295403,2.110264778,0.800783575,3.816942453,6,10,0
108,107_8240_8640_7_23_3_13,103_8240_8320_7_22_21_59,7_23_4_28,0.001,32,64,80,1,370317,2.052153587,0.65031147,3.607802868,2.148885965,0.758751512,3.812409639,3,13,0
109,108_8240_8720_7_23_4_28,103_8240_8320_7_22_21_59,7_23_5_48,0.001,32,64,80,1,372950,1.99949348,0.646994293,3.55070734,2.110080242,0.804570735,3.81830883,6,10,0
110,109_8240_8800_7_23_5_48,103_8240_8320_7_22_21_59,7_23_7_1,0.001,32,64,80,1,375574,1.977816582,0.640770912,3.52168417,2.09659338,0.758039713,3.757162809,11,5,0
